,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,IDFC,EQ,2017-05-15,63.35,63.95,64.35,63.25,63.65,63.7,63.74,2754130,175543313.65,10529,1119918,40.66,2017,5,0.0,Slight
1,IDFC,EQ,2017-05-16,63.7,64.0,64.6,62.9,64.55,64.25,63.8,4014549,256135522.95,12172,1694524,42.21,2017,5,0.01,Slight
2,IDFC,EQ,2017-05-17,64.25,64.65,64.65,63.25,63.25,63.35,63.58,4184709,266048669.85,6189,2802239,66.96,2017,5,-0.01,Slight
3,IDFC,EQ,2017-05-18,63.35,62.4,62.6,61.2,61.35,61.5,61.85,6040654,373622920.9,14151,2475921,40.99,2017,5,-0.03,Slight
4,IDFC,EQ,2017-05-19,61.5,61.85,62.3,60.3,61.0,61.15,61.2,3697284,226272136.6,7537,1711047,46.28,2017,5,-0.01,Slight
5,IDFC,EQ,2017-05-22,61.15,61.3,61.7,60.0,60.1,60.2,60.62,3714457,225183874.2,9335,1491139,40.14,2017,5,-0.02,Slight
6,IDFC,EQ,2017-05-23,60.2,60.3,60.45,57.3,58.2,58.25,58.59,3616589,211897512.8,9665,897898,24.83,2017,5,-0.03,Slight
7,IDFC,EQ,2017-05-24,58.25,58.2,58.9,56.4,56.75,56.9,57.52,4987978,286904990.05,9410,1666628,33.41,2017,5,-0.02,Slight
8,IDFC,EQ,2017-05-25,56.9,57.3,58.35,56.2,57.7,57.6,57.54,29243828,1682796956.4,30826,18794467,64.27,2017,5,0.01,Slight
9,IDFC,EQ,2017-05-26,57.6,57.8,59.6,57.5,59.45,59.25,58.79,4264464,250716809.4,7597,1994291,46.77,2017,5,0.03,Slight
10,IDFC,EQ,2017-05-29,59.25,59.3,59.5,57.9,58.5,58.35,58.63,4465533,261816592.05,7958,2467805,55.26,2017,5,-0.02,Slight
