,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,BPCL,EQ,2017-05-15,733.15,734.65,736.0,723.0,729.0,727.85,728.22,839675,611468413.2,18823,289193,34.44,2017,5,0.0,Slight
1,BPCL,EQ,2017-05-16,727.85,727.0,735.0,723.0,733.25,733.3,729.34,871521,635635110.9,21083,282494,32.41,2017,5,0.75,Slight positive
2,BPCL,EQ,2017-05-17,733.3,732.9,734.0,723.5,727.05,727.45,727.8,1141029,830436015.15,35138,537536,47.11,2017,5,-0.8,Slight negative
3,BPCL,EQ,2017-05-18,727.45,722.2,727.5,711.0,712.6,714.9,717.16,1047741,751394509.05,29422,351569,33.55,2017,5,-1.73,Negative
4,BPCL,EQ,2017-05-19,714.9,715.25,722.45,700.0,703.5,702.45,709.17,1069546,758487981.3,44401,407185,38.07,2017,5,-1.74,Negative
5,BPCL,EQ,2017-05-22,702.45,701.0,701.0,686.55,697.5,695.6,691.93,1506937,1042691341.65,52019,634958,42.14,2017,5,-0.98,Slight negative
6,BPCL,EQ,2017-05-23,695.6,694.2,706.0,688.4,700.0,699.55,697.8,1792660,1250924053.95,66648,964018,53.78,2017,5,0.57,Slight positive
7,BPCL,EQ,2017-05-24,699.55,703.0,716.7,691.25,716.7,711.9,701.99,2350022,1649681981.45,140564,1479410,62.95,2017,5,1.77,Positive
8,BPCL,EQ,2017-05-25,711.9,714.7,733.0,707.0,723.05,726.85,721.79,3558464,2568469153.55,104647,2017304,56.69,2017,5,2.1,Positive
9,BPCL,EQ,2017-05-26,726.85,722.1,753.95,703.0,753.0,749.65,727.91,3807638,2771607600.95,64761,1482083,38.92,2017,5,3.14,Among top gainers
10,BPCL,EQ,2017-05-29,749.65,754.0,769.25,747.0,747.95,754.85,757.59,4288268,3248762962.15,169064,2246971,52.4,2017,5,0.69,Slight positive
11,BPCL,EQ,2017-05-30,754.85,743.75,744.95,725.7,740.0,738.75,734.38,2473708,1816640335.1,83656,978649,39.56,2017,5,-2.13,Negative
12,BPCL,EQ,2017-05-31,738.75,740.2,748.15,738.0,739.4,742.65,743.08,2197498,1632923663.4,88316,1229751,55.96,2017,5,0.53,Slight positive
13,BPCL,EQ,2017-06-01,742.65,739.4,746.8,728.95,737.0,739.0,736.02,1503332,1106480056.05,32527,800261,53.23,2017,6,-0.49,Slight
14,BPCL,EQ,2017-06-02,739.0,738.8,740.0,722.85,723.5,724.8,728.55,1325119,965410994.6,47451,732620,55.29,2017,6,-1.92,Negative
15,BPCL,EQ,2017-06-05,724.8,725.0,737.6,723.65,728.0,728.55,731.62,1346477,985109923.7,19346,523893,38.91,2017,6,0.52,Slight positive
16,BPCL,EQ,2017-06-06,728.55,731.0,736.0,723.65,726.35,725.55,729.14,1533652,1118248967.9,45005,888412,57.93,2017,6,-0.41,Slight
17,BPCL,EQ,2017-06-07,725.55,727.0,727.4,711.0,717.05,717.3,715.6,2865029,2050223917.85,81722,1871440,65.32,2017,6,-1.14,Negative
18,BPCL,EQ,2017-06-08,717.3,724.85,728.5,705.2,705.5,706.85,712.27,2230516,1588737095.9,78354,1321275,59.24,2017,6,-1.46,Negative
19,BPCL,EQ,2017-06-09,706.85,709.2,711.35,695.5,703.05,703.75,701.59,1946776,1365844573.8,60747,918180,47.16,2017,6,-0.44,Slight
20,BPCL,EQ,2017-06-12,703.75,704.9,706.7,699.0,701.5,701.7,703.18,1739368,1223092578.3,28894,1018385,58.55,2017,6,-0.29,Slight
21,BPCL,EQ,2017-06-13,701.7,706.7,708.65,697.35,698.0,699.0,702.01,823765,578293605.85,27553,353292,42.89,2017,6,-0.38,Slight
22,BPCL,EQ,2017-06-14,699.0,699.0,700.2,689.4,691.55,692.0,692.68,1896344,1313566748.05,77598,1317203,69.46,2017,6,-1.0,Slight negative
23,BPCL,EQ,2017-06-15,692.0,692.0,695.0,663.5,670.55,670.4,672.45,4483215,3014715903.4,85004,2387470,53.25,2017,6,-3.12,Among top losers
24,BPCL,EQ,2017-06-16,670.4,677.1,683.65,670.5,674.9,673.8,675.66,4679690,3161865605.3,115515,2901809,62.01,2017,6,0.51,Slight positive
25,BPCL,EQ,2017-06-19,673.8,677.0,678.7,666.0,667.95,667.15,670.55,2036679,1365704242.05,53976,1302473,63.95,2017,6,-0.99,Slight negative
26,BPCL,EQ,2017-06-20,667.15,668.05,671.85,662.2,664.8,664.75,666.88,2195045,1463821512.5,52611,1256115,57.23,2017,6,-0.36,Slight
27,BPCL,EQ,2017-06-21,664.75,667.0,667.0,651.15,654.0,654.4,655.32,2679260,1755764514.55,88491,1658448,61.9,2017,6,-1.56,Negative
28,BPCL,EQ,2017-06-22,654.4,652.2,654.6,637.0,642.75,641.8,644.16,3402724,2191902901.45,82846,1820314,53.5,2017,6,-1.93,Negative
29,BPCL,EQ,2017-06-23,641.8,645.0,646.05,628.6,630.4,630.75,633.56,1757857,1113711318.95,60442,694401,39.5,2017,6,-1.72,Negative
30,BPCL,EQ,2017-06-27,630.75,629.0,629.0,599.0,611.9,612.05,605.78,9429084,5711970216.9,102181,6112111,64.82,2017,6,-2.96,Negative
31,BPCL,EQ,2017-06-28,612.05,610.0,624.6,608.65,617.1,616.7,618.89,3532200,2186043558.9,101719,1885931,53.39,2017,6,0.76,Slight positive
32,BPCL,EQ,2017-06-29,616.7,617.5,633.3,617.0,627.3,626.05,626.07,5277522,3304078947.75,117633,3214295,60.91,2017,6,1.52,Positive
33,BPCL,EQ,2017-06-30,626.05,624.05,641.3,622.35,638.1,639.4,634.25,4307467,2732005977.65,138071,3098301,71.93,2017,6,2.13,Positive
34,BPCL,EQ,2017-07-03,639.4,640.1,651.35,640.1,649.0,649.35,647.04,3588253,2321745984.8,129759,2510733,69.97,2017,7,1.56,Positive
35,BPCL,EQ,2017-07-04,649.35,647.7,665.0,645.95,657.1,657.2,660.19,7443636,4914240947.75,58985,5582357,75.0,2017,7,1.21,Positive
36,BPCL,EQ,2017-07-05,657.2,658.0,663.75,656.35,663.0,662.1,661.01,1720386,1137183969.0,41318,915436,53.21,2017,7,0.75,Slight positive
37,BPCL,EQ,2017-07-06,662.1,663.9,664.0,657.5,660.0,660.05,660.31,2409907,1591282497.25,56223,1805330,74.91,2017,7,-0.31,Slight
38,BPCL,EQ,2017-07-07,660.05,661.0,669.75,659.1,664.05,663.95,665.02,3653118,2429390314.35,48296,2885631,78.99,2017,7,0.59,Slight positive
39,BPCL,EQ,2017-07-10,663.95,645.2,691.2,645.2,663.7,664.65,667.26,489540,326648373.15,5810,394760,80.64,2017,7,0.11,Slight
40,BPCL,EQ,2017-07-11,664.65,668.9,680.8,664.25,679.95,678.3,674.24,3743038,2523713422.05,72913,2774047,74.11,2017,7,2.05,Positive
41,BPCL,EQ,2017-07-12,678.3,684.0,687.0,678.25,684.0,683.7,683.15,3134866,2141586600.8,73817,2154637,68.73,2017,7,0.8,Slight positive
42,BPCL,EQ,2017-07-13,683.7,458.0,465.75,454.4,458.3,458.55,459.27,3875953,1780124896.55,65001,2132629,55.02,2017,7,-32.93,Bear drop
43,BPCL,EQ,2017-07-14,458.55,462.9,464.4,456.1,461.0,460.8,460.61,2661189,1225762268.75,81157,1479104,55.58,2017,7,0.49,Slight
44,BPCL,EQ,2017-07-17,460.8,461.0,469.0,460.0,468.95,467.45,464.54,2040756,948014947.7,33587,1188089,58.22,2017,7,1.44,Positive
45,BPCL,EQ,2017-07-18,467.45,467.45,475.0,464.35,469.8,468.6,469.95,2797527,1314706661.3,56007,1653157,59.09,2017,7,0.25,Slight
46,BPCL,EQ,2017-07-19,468.6,470.0,472.95,465.6,469.1,469.85,469.01,2545148,1193701516.45,35874,1749886,68.75,2017,7,0.27,Slight
47,BPCL,EQ,2017-07-20,469.85,468.85,471.5,463.45,467.5,467.2,467.78,1799528,841784650.2,59463,1009345,56.09,2017,7,-0.56,Slight negative
48,BPCL,EQ,2017-07-21,467.2,467.2,468.9,461.4,467.1,467.15,465.22,2005524,933012811.05,24249,1331016,66.37,2017,7,-0.01,Slight
49,BPCL,EQ,2017-07-24,467.15,466.1,472.75,464.9,465.9,466.2,468.06,2591181,1212827930.7,46179,2016961,77.84,2017,7,-0.2,Slight
50,BPCL,EQ,2017-07-25,466.2,466.25,468.6,463.75,466.4,466.9,466.41,4180442,1949802202.35,44621,3381815,80.9,2017,7,0.15,Slight
51,BPCL,EQ,2017-07-26,466.9,466.5,472.55,466.5,471.0,471.4,470.3,3228336,1518281893.8,37487,2437191,75.49,2017,7,0.96,Slight positive
52,BPCL,EQ,2017-07-27,471.4,471.4,480.0,471.05,479.85,477.2,474.9,3556685,1689081383.65,38990,2842789,79.93,2017,7,1.23,Positive
53,BPCL,EQ,2017-07-28,477.2,474.0,480.5,469.4,474.0,475.6,475.04,3727475,1770696551.9,48904,2731268,73.27,2017,7,-0.34,Slight
54,BPCL,EQ,2017-07-31,475.6,472.55,478.1,468.65,471.0,471.15,472.72,3000612,1418438897.4,43176,2210917,73.68,2017,7,-0.94,Slight negative
55,BPCL,EQ,2017-08-01,471.15,472.1,486.95,472.0,484.95,485.6,482.02,3492479,1683436409.45,60368,2266443,64.89,2017,8,3.07,Among top gainers
56,BPCL,EQ,2017-08-02,485.6,485.6,489.5,484.7,487.5,486.3,486.39,3574128,1738407870.9,37902,2569090,71.88,2017,8,0.14,Slight
57,BPCL,EQ,2017-08-03,486.3,489.3,498.7,485.1,490.15,490.0,491.16,6212375,3051281173.2,84464,3881619,62.48,2017,8,0.76,Slight positive
58,BPCL,EQ,2017-08-04,490.0,491.4,525.5,491.0,518.75,517.9,505.01,5406360,2730285256.1,73838,2635223,48.74,2017,8,5.69,Among top gainers
59,BPCL,EQ,2017-08-07,517.9,520.0,529.0,514.55,525.95,527.7,522.89,4681753,2448030964.65,83009,1710135,36.53,2017,8,1.89,Positive
60,BPCL,EQ,2017-08-08,527.7,527.7,528.55,502.75,504.5,505.05,512.59,4298541,2203396200.75,90711,2515585,58.52,2017,8,-4.29,Among top losers
61,BPCL,EQ,2017-08-09,505.05,501.5,512.2,493.0,494.95,495.95,502.01,3120575,1566563084.5,46832,1521985,48.77,2017,8,-1.8,Negative
62,BPCL,EQ,2017-08-10,495.95,493.9,495.0,471.6,482.0,481.5,482.32,4848050,2338309822.15,94947,2542768,52.45,2017,8,-2.91,Negative
63,BPCL,EQ,2017-08-11,481.5,475.15,491.95,472.05,484.5,484.3,483.37,4211969,2035922208.45,84384,1815347,43.1,2017,8,0.58,Slight positive
64,BPCL,EQ,2017-08-14,484.3,483.5,483.5,465.3,478.8,478.35,474.08,4842669,2295792064.85,69250,2357592,48.68,2017,8,-1.23,Negative
65,BPCL,EQ,2017-08-16,478.35,479.85,488.2,474.0,484.65,483.95,481.14,3202080,1540633433.95,71778,1760246,54.97,2017,8,1.17,Positive
66,BPCL,EQ,2017-08-17,483.95,485.0,504.3,480.15,494.2,493.7,494.38,4640313,2294056483.7,74891,1485267,32.01,2017,8,2.01,Positive
67,BPCL,EQ,2017-08-18,493.7,493.0,511.6,488.0,504.6,503.3,503.56,5973154,3007853137.35,92511,2257974,37.8,2017,8,1.94,Positive
68,BPCL,EQ,2017-08-21,503.3,506.3,515.8,495.1,498.6,497.75,505.42,4359678,2203459767.1,81672,1904772,43.69,2017,8,-1.1,Negative
69,BPCL,EQ,2017-08-22,497.75,493.5,513.0,493.5,511.65,510.35,506.41,4590059,2324444916.75,96904,1767998,38.52,2017,8,2.53,Positive
70,BPCL,EQ,2017-08-23,510.35,514.95,514.95,506.1,509.4,509.7,509.48,3071333,1564774396.05,55545,1523753,49.61,2017,8,-0.13,Slight
71,BPCL,EQ,2017-08-24,509.7,510.35,514.5,504.25,508.5,508.2,508.82,2927916,1489769494.6,49168,1693403,57.84,2017,8,-0.29,Slight
72,BPCL,EQ,2017-08-28,508.2,508.3,509.85,500.5,508.3,508.0,506.06,3110427,1574066420.4,77112,1966356,63.22,2017,8,-0.04,Slight
73,BPCL,EQ,2017-08-29,508.0,508.0,518.45,501.45,503.05,504.1,511.1,3872671,1979338618.15,63890,1382724,35.7,2017,8,-0.77,Slight negative
74,BPCL,EQ,2017-08-30,504.1,510.9,524.3,508.0,521.0,520.95,518.3,4117206,2133948799.9,60753,1784468,43.34,2017,8,3.34,Among top gainers
75,BPCL,EQ,2017-08-31,520.95,520.5,534.45,516.9,528.05,529.0,527.98,5963684,3148734411.95,118812,2903143,48.68,2017,8,1.55,Positive
76,BPCL,EQ,2017-09-01,529.0,532.0,539.85,525.1,536.2,537.4,531.29,3655195,1941951294.2,83540,1861326,50.92,2017,9,1.59,Positive
77,BPCL,EQ,2017-09-04,537.4,537.4,546.1,527.5,529.85,531.15,538.15,4481134,2411503052.25,64832,1774037,39.59,2017,9,-1.16,Negative
78,BPCL,EQ,2017-09-05,531.15,530.1,541.5,527.5,538.8,539.25,534.51,2009172,1073915685.6,36797,605377,30.13,2017,9,1.52,Positive
79,BPCL,EQ,2017-09-06,539.25,537.3,537.3,529.75,534.9,534.9,533.24,1845891,984311582.95,41669,705051,38.2,2017,9,-0.81,Slight negative
80,BPCL,EQ,2017-09-07,534.9,538.0,538.75,521.95,523.2,524.1,526.52,3264681,1718917305.35,71474,1743266,53.4,2017,9,-2.02,Negative
81,BPCL,EQ,2017-09-08,524.1,525.0,527.7,511.2,513.2,513.35,516.87,3212539,1660452870.35,77238,1709184,53.2,2017,9,-2.05,Negative
82,BPCL,EQ,2017-09-11,513.35,519.0,523.8,510.5,513.65,512.25,515.63,3026548,1560579869.65,106680,1765822,58.34,2017,9,-0.21,Slight
83,BPCL,EQ,2017-09-12,512.25,515.9,535.15,512.55,534.6,533.85,527.27,3957122,2086464027.4,81511,1276005,32.25,2017,9,4.22,Among top gainers
84,BPCL,EQ,2017-09-13,533.85,536.0,540.4,489.0,499.4,500.2,510.59,8981024,4585655508.4,103642,3672404,40.89,2017,9,-6.3,Among top losers
85,BPCL,EQ,2017-09-14,500.2,520.0,524.9,487.05,501.0,500.5,502.03,15828064,7946137811.0,182506,4867880,30.75,2017,9,0.06,Slight
86,BPCL,EQ,2017-09-15,500.5,500.0,503.0,491.25,498.5,497.25,497.07,5342585,2655625137.15,73931,2453552,45.92,2017,9,-0.65,Slight negative
87,BPCL,EQ,2017-09-18,497.25,504.0,506.8,493.35,498.2,497.95,498.93,2851570,1422729823.5,52853,988310,34.66,2017,9,0.14,Slight
88,BPCL,EQ,2017-09-19,497.95,498.9,508.2,493.65,507.25,506.9,504.06,3969923,2001088639.6,62040,1818054,45.8,2017,9,1.8,Positive
89,BPCL,EQ,2017-09-20,506.9,507.0,507.0,492.5,494.5,494.3,495.24,6309697,3124807856.15,100716,3566423,56.52,2017,9,-2.49,Negative
90,BPCL,EQ,2017-09-21,494.3,495.0,500.0,490.75,495.15,496.15,495.77,5455368,2704605089.75,52067,3394505,62.22,2017,9,0.37,Slight
91,BPCL,EQ,2017-09-22,496.15,494.05,497.25,483.1,492.5,492.0,490.27,4810438,2358408508.0,55614,2210967,45.96,2017,9,-0.84,Slight negative
92,BPCL,EQ,2017-09-25,492.0,487.7,492.5,478.25,487.0,487.15,484.8,3637371,1763399406.8,52095,1793173,49.3,2017,9,-0.99,Slight negative
93,BPCL,EQ,2017-09-26,487.15,483.0,485.55,460.05,468.5,469.25,470.83,9210056,4336385340.25,105652,4124394,44.78,2017,9,-3.67,Among top losers
94,BPCL,EQ,2017-09-27,469.25,472.0,476.5,462.65,466.0,465.6,468.93,5548780,2601999493.0,69513,2864687,51.63,2017,9,-0.78,Slight negative
95,BPCL,EQ,2017-09-28,465.6,463.3,465.4,449.4,463.0,462.85,458.53,6846279,3139192184.0,77506,3632119,53.05,2017,9,-0.59,Slight negative
96,BPCL,EQ,2017-09-29,462.85,466.0,476.0,462.1,475.0,471.3,469.97,6028154,2833063813.25,71459,3229278,53.57,2017,9,1.83,Positive
97,BPCL,EQ,2017-10-03,471.3,477.0,481.7,467.0,478.75,478.85,474.33,3270183,1551160175.95,37876,1625737,49.71,2017,10,1.6,Positive
98,BPCL,EQ,2017-10-04,478.85,493.25,493.4,476.35,486.0,486.15,484.23,4929189,2386853429.75,53340,1683263,34.15,2017,10,1.52,Positive
99,BPCL,EQ,2017-10-05,486.15,482.1,484.75,475.2,480.0,480.1,480.1,2928097,1405789729.4,27361,1018408,34.78,2017,10,-1.24,Negative
100,BPCL,EQ,2017-10-06,480.1,480.0,492.8,478.15,488.9,489.6,484.14,2496805,1208810569.5,31133,793919,31.8,2017,10,1.98,Positive
101,BPCL,EQ,2017-10-09,489.6,486.0,492.05,479.6,481.9,481.25,483.82,3036615,1469179092.0,39083,1254841,41.32,2017,10,-1.71,Negative
102,BPCL,EQ,2017-10-10,481.25,482.0,484.25,476.1,482.3,482.3,480.61,3175579,1526214642.3,79965,1683155,53.0,2017,10,0.22,Slight
103,BPCL,EQ,2017-10-11,482.3,481.05,496.0,479.3,487.4,489.35,488.81,6006098,2935857691.15,75630,2577283,42.91,2017,10,1.46,Positive
104,BPCL,EQ,2017-10-12,489.35,490.25,494.25,486.5,493.7,491.6,490.44,2321678,1138638597.65,31761,1040095,44.8,2017,10,0.46,Slight
105,BPCL,EQ,2017-10-13,491.6,492.4,494.0,484.0,484.3,488.7,489.21,3247000,1588474957.45,38310,2032870,62.61,2017,10,-0.59,Slight negative
106,BPCL,EQ,2017-10-16,488.7,490.0,501.0,489.0,498.0,498.4,497.36,4149330,2063693508.6,54476,1912238,46.09,2017,10,1.98,Positive
107,BPCL,EQ,2017-10-17,498.4,498.0,514.5,494.05,514.0,512.75,509.06,4449253,2264949058.95,69248,1628921,36.61,2017,10,2.88,Positive
108,BPCL,EQ,2017-10-18,512.75,513.75,519.45,508.0,514.65,513.6,513.99,2687829,1381519090.3,43674,1078042,40.11,2017,10,0.17,Slight
109,BPCL,EQ,2017-10-19,513.6,516.45,516.45,504.8,509.9,508.15,510.34,206300,105282512.15,3105,34468,16.71,2017,10,-1.06,Negative
110,BPCL,EQ,2017-10-23,508.15,509.95,519.6,508.1,511.0,511.3,512.68,2140573,1097432993.8,69134,1043117,48.73,2017,10,0.62,Slight positive
111,BPCL,EQ,2017-10-24,511.3,513.5,516.35,505.3,510.1,509.65,511.72,2070164,1059348315.45,40253,1258775,60.81,2017,10,-0.32,Slight
112,BPCL,EQ,2017-10-25,509.65,515.0,515.0,505.0,509.25,509.8,509.14,3190106,1624210591.2,46646,2073426,65.0,2017,10,0.03,Slight
113,BPCL,EQ,2017-10-26,509.8,510.0,539.85,509.45,536.05,536.45,531.88,7486609,3981997896.0,113815,4304430,57.5,2017,10,5.23,Among top gainers
114,BPCL,EQ,2017-10-27,536.45,541.45,548.75,523.35,529.45,527.95,532.19,9078313,4831357934.05,172458,5475604,60.32,2017,10,-1.58,Negative
115,BPCL,EQ,2017-10-30,527.95,526.5,551.55,524.6,534.85,536.25,540.96,3421726,1851032316.9,54548,1242496,36.31,2017,10,1.57,Positive
116,BPCL,EQ,2017-10-31,536.25,535.55,544.35,527.0,540.5,541.6,537.87,3195489,1718745108.0,53354,1445555,45.24,2017,10,1.0,Slight positive
117,BPCL,EQ,2017-11-01,541.6,542.0,544.9,534.05,540.5,539.8,538.94,2464379,1328161999.65,56068,1127930,45.77,2017,11,-0.33,Slight
118,BPCL,EQ,2017-11-02,539.8,544.9,546.6,535.5,544.1,542.85,541.3,2486376,1345887324.35,37268,1335798,53.72,2017,11,0.57,Slight positive
119,BPCL,EQ,2017-11-03,542.85,540.2,543.5,531.2,533.2,533.1,535.25,2226073,1191515123.15,38243,1127871,50.67,2017,11,-1.8,Negative
120,BPCL,EQ,2017-11-06,533.1,533.2,533.25,521.0,525.0,524.2,523.92,3386236,1774130425.0,88390,1994401,58.9,2017,11,-1.67,Negative
121,BPCL,EQ,2017-11-07,524.2,525.0,525.05,508.4,524.8,521.4,517.32,4163902,2154089450.15,54654,2100246,50.44,2017,11,-0.53,Slight negative
122,BPCL,EQ,2017-11-08,521.4,524.95,527.15,511.2,521.05,520.2,516.45,2305081,1190464944.0,39682,1082322,46.95,2017,11,-0.23,Slight
123,BPCL,EQ,2017-11-09,520.2,520.65,526.0,515.0,523.55,522.15,520.1,2260061,1175467794.75,44204,1016130,44.96,2017,11,0.37,Slight
124,BPCL,EQ,2017-11-10,522.15,516.0,516.3,508.05,513.0,512.1,511.68,2686694,1374719863.65,43972,1301451,48.44,2017,11,-1.92,Negative
125,BPCL,EQ,2017-11-13,512.1,517.2,517.8,493.35,498.5,500.6,500.4,4389689,2196613068.2,78160,1689852,38.5,2017,11,-2.25,Negative
126,BPCL,EQ,2017-11-14,500.6,495.75,500.0,487.45,493.3,493.05,491.48,3148613,1547482942.85,50761,1504527,47.78,2017,11,-1.51,Negative
127,BPCL,EQ,2017-11-15,493.05,495.0,508.8,495.0,507.0,504.7,505.18,4117602,2080132313.2,45964,1482751,36.01,2017,11,2.36,Positive
128,BPCL,EQ,2017-11-16,504.7,507.0,509.75,492.8,501.15,499.35,498.72,2605098,1299226625.3,37594,1100232,42.23,2017,11,-1.06,Negative
129,BPCL,EQ,2017-11-17,499.35,504.6,507.0,495.45,502.5,504.0,502.07,2980186,1496273997.35,36502,1316716,44.18,2017,11,0.93,Slight positive
130,BPCL,EQ,2017-11-20,504.0,502.55,507.8,496.5,504.45,504.45,502.45,1790444,899607460.65,23791,496628,27.74,2017,11,0.09,Slight
131,BPCL,EQ,2017-11-21,504.45,506.0,514.5,499.25,512.0,511.5,509.49,4044509,2060652375.45,49063,2277083,56.3,2017,11,1.4,Positive
132,BPCL,EQ,2017-11-22,511.5,514.3,514.4,503.6,508.5,507.7,507.63,2000237,1015387821.8,26001,1002303,50.11,2017,11,-0.74,Slight negative
133,BPCL,EQ,2017-11-23,507.7,507.0,513.0,501.25,504.7,505.15,506.45,3451343,1747922458.75,36339,2109928,61.13,2017,11,-0.5,Slight
134,BPCL,EQ,2017-11-24,505.15,503.0,511.85,502.95,511.05,511.0,509.25,1761995,897288919.7,25115,942416,53.49,2017,11,1.16,Positive
135,BPCL,EQ,2017-11-27,511.0,507.0,510.55,501.5,510.0,508.45,505.57,2732306,1381376649.05,38288,1545413,56.56,2017,11,-0.5,Slight
136,BPCL,EQ,2017-11-28,508.45,505.0,508.8,500.3,507.6,507.6,504.82,4066465,2052852923.1,54980,1905433,46.86,2017,11,-0.17,Slight
137,BPCL,EQ,2017-11-29,507.6,507.4,516.5,503.05,507.0,507.8,509.52,2759777,1406170678.45,49084,1270436,46.03,2017,11,0.04,Slight
138,BPCL,EQ,2017-11-30,507.8,505.8,513.65,501.3,503.0,503.85,506.03,6083478,3078415527.9,84227,3900386,64.11,2017,11,-0.78,Slight negative
139,BPCL,EQ,2017-12-01,503.85,504.8,507.65,493.65,494.85,496.4,501.15,1651505,827655178.35,29612,462057,27.98,2017,12,-1.48,Negative
140,BPCL,EQ,2017-12-04,496.4,497.0,500.0,490.45,496.5,496.2,495.75,1562380,774555990.9,28730,536174,34.32,2017,12,-0.04,Slight
141,BPCL,EQ,2017-12-05,496.2,495.5,505.0,495.05,502.5,500.9,501.25,2398200,1202100341.45,45593,961868,40.11,2017,12,0.95,Slight positive
142,BPCL,EQ,2017-12-06,500.9,501.15,502.9,489.35,490.85,490.95,495.08,2928030,1449607102.2,80731,1440407,49.19,2017,12,-1.99,Negative
143,BPCL,EQ,2017-12-07,490.95,491.0,500.0,491.0,499.85,499.1,496.95,1350279,671021985.2,47635,528419,39.13,2017,12,1.66,Positive
144,BPCL,EQ,2017-12-08,499.1,498.5,515.9,498.45,514.15,514.45,508.0,2816688,1430878991.45,63408,1160266,41.19,2017,12,3.08,Among top gainers
145,BPCL,EQ,2017-12-11,514.45,519.85,521.65,512.2,514.15,514.2,516.61,2567093,1326173654.0,53388,911850,35.52,2017,12,-0.05,Slight
146,BPCL,EQ,2017-12-12,514.2,517.0,517.9,497.1,498.65,498.95,502.53,1976642,993328096.95,30545,559391,28.3,2017,12,-2.97,Negative
147,BPCL,EQ,2017-12-13,498.95,500.0,512.5,495.05,507.35,506.3,507.09,3006485,1524555410.5,40780,706852,23.51,2017,12,1.47,Positive
148,BPCL,EQ,2017-12-14,506.3,509.95,515.7,505.45,513.0,513.55,511.0,3908315,1997147187.7,62765,1617708,41.39,2017,12,1.43,Positive
149,BPCL,EQ,2017-12-15,513.55,524.0,525.0,516.2,524.95,523.05,521.52,3885064,2026131270.7,77775,2508856,64.58,2017,12,1.85,Positive
150,BPCL,EQ,2017-12-18,523.05,522.4,529.85,505.35,529.25,526.4,521.08,4986311,2598282952.3,78508,2736068,54.87,2017,12,0.64,Slight positive
151,BPCL,EQ,2017-12-19,526.4,529.0,533.95,526.05,532.7,533.05,531.77,3899556,2073670549.45,64421,2185706,56.05,2017,12,1.26,Positive
152,BPCL,EQ,2017-12-20,533.05,534.0,534.9,526.95,533.3,532.05,531.15,2725082,1447435762.95,49101,1600067,58.72,2017,12,-0.19,Slight
153,BPCL,EQ,2017-12-21,532.05,531.0,540.5,528.25,533.0,535.1,535.7,2747860,1472028867.95,43271,1370156,49.86,2017,12,0.57,Slight positive
154,BPCL,EQ,2017-12-22,535.1,533.1,536.6,529.3,536.1,535.15,533.73,1886590,1006926985.35,50542,1002823,53.16,2017,12,0.01,Slight
155,BPCL,EQ,2017-12-26,535.15,534.9,542.5,530.8,535.9,538.9,535.92,2023385,1084380762.55,47382,868207,42.91,2017,12,0.7,Slight positive
156,BPCL,EQ,2017-12-27,538.9,534.95,541.2,531.25,534.0,533.4,536.7,1783603,957266536.25,37676,793792,44.5,2017,12,-1.02,Negative
157,BPCL,EQ,2017-12-28,533.4,531.65,537.9,522.1,522.8,526.2,528.64,4992425,2639177304.95,60455,3181620,63.73,2017,12,-1.35,Negative
158,BPCL,EQ,2017-12-29,526.2,523.25,529.75,515.4,517.5,517.7,520.88,1604217,835598456.6,33714,505979,31.54,2017,12,-1.62,Negative
159,BPCL,EQ,2018-01-01,517.7,518.0,523.0,507.2,508.75,508.6,512.53,1940293,994459351.75,23827,910182,46.91,2018,1,-1.76,Negative
160,BPCL,EQ,2018-01-02,508.6,511.3,512.95,497.2,499.6,499.8,501.04,2536583,1270939779.65,42921,1102033,43.45,2018,1,-1.73,Negative
161,BPCL,EQ,2018-01-03,499.8,500.15,504.9,493.4,494.35,494.9,498.08,3870814,1927963952.25,90579,1967305,50.82,2018,1,-0.98,Slight negative
162,BPCL,EQ,2018-01-04,494.9,495.0,495.5,490.5,491.5,491.5,492.12,2720308,1338731072.3,56022,1665833,61.24,2018,1,-0.69,Slight negative
163,BPCL,EQ,2018-01-05,491.5,491.0,494.0,483.7,488.45,487.7,487.77,2939239,1433677713.35,70045,1734527,59.01,2018,1,-0.77,Slight negative
164,BPCL,EQ,2018-01-08,487.7,490.0,501.5,490.0,496.95,497.2,496.2,4990626,2476366431.3,113503,2880953,57.73,2018,1,1.95,Positive
165,BPCL,EQ,2018-01-09,497.2,499.0,500.75,491.25,496.0,496.1,496.32,3653710,1813392643.6,89865,2001695,54.79,2018,1,-0.22,Slight
166,BPCL,EQ,2018-01-10,496.1,494.55,498.2,493.5,493.5,494.3,495.27,3121408,1545947485.95,70917,1938504,62.1,2018,1,-0.36,Slight
167,BPCL,EQ,2018-01-11,494.3,495.0,495.0,488.75,491.55,492.4,490.91,2958652,1452440829.15,71437,1623528,54.87,2018,1,-0.38,Slight
168,BPCL,EQ,2018-01-12,492.4,490.5,493.0,487.65,489.6,489.9,490.52,2808710,1377731569.85,63496,1784219,63.52,2018,1,-0.51,Slight negative
